freqs,I,Q
6899000000.0,0.607879422587036,0.7871286418513143
6900000000.0,0.6081356918886207,0.7869343493511031
6901000000.0,0.6083919010249775,0.7867399724766324
6902000000.0,0.6086480499678425,0.7865455112445338
6903000000.0,0.6089041386889543,0.7863509656714478
6904000000.0,0.6091601671600556,0.786156335774024
6905000000.0,0.6094161353528916,0.7859616215689207
6906000000.0,0.6096720432392112,0.7857668230728054
6907000000.0,0.6099278907907658,0.7855719403023546
6908000000.0,0.610183677979311,0.7853769732742527
6909000000.0,0.6104394047766051,0.7851819220051945
6910000000.0,0.610695071154409,0.7849867865118828
6911000000.0,0.6109506770844882,0.7847915668110297
6912000000.0,0.6112062225386102,0.7845962629193561
6913000000.0,0.6114617074885462,0.7844008748535918
6914000000.0,0.6117171319060705,0.7842054026304757
6915000000.0,0.6119724957629608,0.7840098462667554
6916000000.0,0.612227799030998,0.7838142057791876
6917000000.0,0.6124830416819662,0.7836184811845379
6918000000.0,0.6127382236876528,0.7834226724995809
6919000000.0,0.6129933450198479,0.7832267797410997
6920000000.0,0.6132484056503457,0.7830308029258869
6921000000.0,0.6135034055509434,0.782834742070743
6922000000.0,0.6137583446934411,0.782638597192479
6923000000.0,0.6140132230496431,0.7824423683079136
6924000000.0,0.6142680405913554,0.7822460554338748
6925000000.0,0.6145227972903881,0.7820496585871993
6926000000.0,0.6147774931185552,0.7818531777847332
6927000000.0,0.6150321280476733,0.7816566130433309
6928000000.0,0.6152867020495619,0.7814599643798561
6929000000.0,0.6155412150960446,0.7812632318111814
6930000000.0,0.6157956671589482,0.7810664153541883
6931000000.0,0.616050058210102,0.780869515025767
6932000000.0,0.6163043882213396,0.7806725308428166
6933000000.0,0.6165586571644966,0.7804754628222457
6934000000.0,0.6168128650114141,0.7802783109809707
6935000000.0,0.6170670117339341,0.7800810753359178
6936000000.0,0.6173210973039034,0.7798837559040215
6937000000.0,0.6175751216931716,0.779686352702226
6938000000.0,0.6178290848735914,0.7794888657474833
6939000000.0,0.6180829868170196,0.7792912950567557
6940000000.0,0.6183368274953153,0.7790936406470127
6941000000.0,0.6185906068803421,0.7788959025352343
6942000000.0,0.6188443249439659,0.7786980807384086
6943000000.0,0.6190979816580566,0.7785001752735321
6944000000.0,0.6193515769944871,0.7783021861576109
6945000000.0,0.6196051109251333,0.7781041134076602
6946000000.0,0.6198585834218756,0.7779059570407033
6947000000.0,0.6201119944565971,0.7777077170737728
6948000000.0,0.6203653440011836,0.7775093935239101
6949000000.0,0.6206186320275257,0.7773109864081659
6950000000.0,0.6208718585075156,0.7771124957435986
6951000000.0,0.6211250234130506,0.7769139215472771
6952000000.0,0.6213781267160302,0.7767152638362782
6953000000.0,0.6216311683883579,0.7765165226276872
6954000000.0,0.6218841484019404,0.7763176979385993
6955000000.0,0.6221370667286875,0.7761187897861176
6956000000.0,0.622389923340513,0.7759197981873549
6957000000.0,0.6226427182093334,0.7757207231594321
6958000000.0,0.6228954513070685,0.7755215647194798
6959000000.0,0.6231481226056431,0.7753223228846364
6960000000.0,0.623400732076984,0.7751229976720498
6961000000.0,0.6236532796930214,0.7749235890988774
6962000000.0,0.6239057654256887,0.774724097182284
6963000000.0,0.6241581892469243,0.7745245219394442
6964000000.0,0.6244105511286685,0.7743248633875416
6965000000.0,0.6246628510428651,0.7741251215437678
6966000000.0,0.6249150889614622,0.7739252964253239
6967000000.0,0.6251672648564107,0.77372538804942
6968000000.0,0.6254193786996651,0.7735253964332742
6969000000.0,0.6256714304631833,0.7733253215941145
6970000000.0,0.6259234201189264,0.7731251635491764
6971000000.0,0.6261753476388598,0.7729249223157062
6972000000.0,0.626427212994952,0.7727245979109573
6973000000.0,0.6266790161591743,0.7725241903521923
6974000000.0,0.6269307571035022,0.772323699656683
6975000000.0,0.6271824357999143,0.77212312584171
6976000000.0,0.6274340522203928,0.7719224689245625
6977000000.0,0.6276856063369234,0.7717217289225387
6978000000.0,0.6279370981214956,0.7715209058529455
6979000000.0,0.6281885275461013,0.7713199997330987
6980000000.0,0.6284398945827374,0.7711190105803227
6981000000.0,0.6286911992034034,0.7709179384119514
6982000000.0,0.6289424413801026,0.7707167832453268
6983000000.0,0.6291936210848412,0.7705155450977995
6984000000.0,0.6294447382896294,0.7703142239867303
6985000000.0,0.6296957929664816,0.770112819929487
6986000000.0,0.6299467850874148,0.7699113329434472
6987000000.0,0.6301977146244496,0.7697097630459975
6988000000.0,0.6304485815496105,0.7695081102545326
6989000000.0,0.6306993858349248,0.7693063745864566
6990000000.0,0.6309501274524245,0.7691045560591825
6991000000.0,0.6312008063741441,0.7689026546901312
6992000000.0,0.6314514225721222,0.7687006704967332
6993000000.0,0.6317019760184012,0.7684986034964274
6994000000.0,0.6319524666850258,0.768296453706662
6995000000.0,0.6322028945440459,0.7680942211448933
6996000000.0,0.6324532595675139,0.767891905828587
6997000000.0,0.6327035617274858,0.7676895077752174
6998000000.0,0.6329538009960227,0.767487027002267
6999000000.0,0.6332039773451867,0.7672844635272278
7000000000.0,0.6334540907470453,0.7670818173676001
7001000000.0,0.6337041411736692,0.7668790885408936
7002000000.0,0.6339541285971328,0.7666762770646264
7003000000.0,0.6342040529895135,0.7664733829563247
7004000000.0,0.6344539143228928,0.7662704062335248
7005000000.0,0.6347037125693559,0.7660673469137713
7006000000.0,0.634953447700991,0.7658642050146164
7007000000.0,0.6352031196898911,0.7656609805536227
7008000000.0,0.6354527285081519,0.7654576735483608
7009000000.0,0.6357022741278725,0.7652542840164102
7010000000.0,0.635951756521156,0.7650508119753587
7011000000.0,0.6362011756601096,0.7648472574428032
7012000000.0,0.6364505315168436,0.7646436204363496
7013000000.0,0.6366998240634723,0.7644399009736123
7014000000.0,0.6369490532721132,0.7642360990722143
7015000000.0,0.6371982191148877,0.7640322147497876
7016000000.0,0.6374473215639206,0.7638282480239728
7017000000.0,0.6376963605913409,0.7636241989124194
7018000000.0,0.637945336169281,0.7634200674327852
7019000000.0,0.6381942482698767,0.7632158536027369
7020000000.0,0.6384430968652681,0.7630115574399506
7021000000.0,0.6386918819275986,0.7628071789621103
7022000000.0,0.6389406034290149,0.762602718186909
7023000000.0,0.6391892613416681,0.7623981751320484
7024000000.0,0.6394378556377126,0.7621935498152388
7025000000.0,0.6396863862893071,0.7619888422541993
7026000000.0,0.6399348532686129,0.7617840524666579
7027000000.0,0.6401832565477961,0.761579180470351
7028000000.0,0.6404315960990259,0.7613742262830242
7029000000.0,0.6406798718944753,0.7611691899224311
7030000000.0,0.6409280839063212,0.7609640714063343
7031000000.0,0.6411762321067441,0.7607588707525056
7032000000.0,0.6414243164679282,0.7605535879787243
7033000000.0,0.6416723369620619,0.7603482231027799
7034000000.0,0.641920293561337,0.7601427761424695
7035000000.0,0.6421681862379484,0.7599372471155991
7036000000.0,0.6424160149640957,0.7597316360399838
7037000000.0,0.6426637797119824,0.7595259429334466
7038000000.0,0.6429114804538152,0.7593201678138197
7039000000.0,0.6431591171618048,0.7591143106989442
7040000000.0,0.6434066898081652,0.7589083716066695
7041000000.0,0.6436541983651146,0.7587023505548535
7042000000.0,0.6439016428048756,0.7584962475613631
7043000000.0,0.6441490230996731,0.758290062644074
7044000000.0,0.6443963392217377,0.75808379582087
7045000000.0,0.6446435911433017,0.7578774471096441
7046000000.0,0.6448907788366032,0.7576710165282975
7047000000.0,0.6451379022738828,0.7574645040947404
7048000000.0,0.6453849614273852,0.7572579098268918
7049000000.0,0.645631956269359,0.7570512337426786
7050000000.0,0.6458788867720572,0.7568444758600368
7051000000.0,0.646125752907736,0.7566376361969112
7052000000.0,0.6463725546486557,0.7564307147712549
7053000000.0,0.64661929196708,0.75622371160103
7054000000.0,0.6468659648352769,0.7560166267042066
7055000000.0,0.6471125732255182,0.7558094600987644
7056000000.0,0.6473591171100795,0.7556022118026906
7057000000.0,0.6476055964612404,0.755394881833982
7058000000.0,0.6478520112512838,0.7551874702106433
7059000000.0,0.6480983614524976,0.7549799769506876
7060000000.0,0.6483446470371721,0.7547724020721379
7061000000.0,0.6485908679776036,0.7545647455930248
7062000000.0,0.648837024246089,0.7543570075313876
7063000000.0,0.6490831158149334,0.7541491879052739
7064000000.0,0.6493291426564424,0.7539412867327404
7065000000.0,0.6495751047429263,0.7537333040318523
7066000000.0,0.6498210020467003,0.7535252398206835
7067000000.0,0.6500668345400831,0.7533170941173158
7068000000.0,0.6503126021953961,0.7531088669398409
7069000000.0,0.6505583049849668,0.7529005583063573
7070000000.0,0.6508039428811245,0.7526921682349734
7071000000.0,0.6510495158562042,0.752483696743806
7072000000.0,0.6512950238825437,0.7522751438509798
7073000000.0,0.6515404669324849,0.7520665095746287
7074000000.0,0.6517858449783746,0.7518577939328952
7075000000.0,0.6520311579925627,0.7516489969439297
7076000000.0,0.6522764059474033,0.7514401186258912
7077000000.0,0.6525215888152537,0.7512311589969483
7078000000.0,0.652766706568477,0.7510221180752767
7079000000.0,0.653011759179439,0.7508129958790618
7080000000.0,0.653256746620509,0.750603792426497
7081000000.0,0.6535016688640617,0.7503945077357841
7082000000.0,0.6537465258824748,0.7501851418251335
7083000000.0,0.6539913176481309,0.7499756947127648
7084000000.0,0.6542360441334155,0.749766166416905
7085000000.0,0.6544807053107189,0.7495565569557904
7086000000.0,0.6547253011524353,0.7493468663476651
7087000000.0,0.6549698316309625,0.7491370946107828
7088000000.0,0.6552142967187033,0.7489272417634044
7089000000.0,0.6554586963880641,0.7487173078238003
7090000000.0,0.6557030306114545,0.7485072928102489
