,S11,S21,S31,20_log_of_mag_S11,20_log_of_mag_S21,20_log_of_mag_S31,degrees_S11,degrees_S21,degrees_S31,Real(S21),Imag(S21)
4.026,(-0.151356610956315-0.04286915071607138j),(-0.2579623300206366+0.9532621812281423j),(-0.0002174004559541061-0.0001287280985985796j),-16.06484676234827,-0.10882549268059893,-71.94948746139491,-164.18614038451946,105.14214864390338,-149.3691927941812,-0.2579623300206366,0.9532621812281423
4.027,(-0.1513810805151244-0.0428233511186355j),(-0.2576556400035789+0.9533432943698239j),(-0.0002191452501734653-0.0001296883377011301j),-16.064235519484644,-0.10884100801831487,-71.88132174581163,-164.20461763674498,105.1237435170633,-149.38330605099733,-0.2576556400035789,0.9533432943698239
4.028,(-0.1514055400573271-0.04277752782421837j),(-0.2573489051409408+0.9534243138756998j),(-0.0002209160842240012-0.0001306628280088183j),-16.063624304356075,-0.10885652499244372,-71.81268224368449,-164.22309959959117,105.10533723010536,-149.3974214099336,-0.2573489051409408,0.9534243138756998
4.029,(-0.1514299900492351-0.04273168066137114j),(-0.257042124984255+0.9535052397778635j),(-0.0002227135434361647-0.0001316518895116958j),-16.06301309387385,-0.10887204419229854,-71.74356189455574,-164.24158638008777,105.0869297555069,-149.41153892356456,-0.257042124984255,0.9535052397778635
4.03,(-0.1514544309715446-0.04268580945285712j),(-0.2567352990706883+0.9535860721095316j),(-0.0002245382308134029-0.0001326558518524944j),-16.062401864256977,-0.10888756622522855,-71.67395347872981,-164.26007808849036,105.06852106491753,-149.42565864604484,-0.2567352990706883,0.9535860721095316
4.031,(-0.1514788633198814-0.04263991401543095j),(-0.2564284269225067+0.9536668109050851j),(-0.0002263907677042295-0.0001336750546933636j),-16.061790591005906,-0.10890309171729008,-71.60384961244824,-164.2785748384032,105.05011112912844,-149.4397806331692,-0.2564284269225067,0.9536668109050851
4.032,(-0.151503287605373-0.04259399415960767j),(-0.2561215080464928+0.9537474562001134j),(-0.0002282717945052235-0.0001347098480994704j),-16.06117924887497,-0.10891862131398994,-71.53324274287964,-164.29707674690732,105.03169991803875,-149.45390494243526,-0.2561215080464928,0.9537474562001134
4.033,(-0.1515277043552458-0.04254804968942195j),(-0.2558145419333556+0.953828008031461j),(-0.0002301819713965582-0.000135760592940331j),-16.060567811843637,-0.10893415568101489,-71.46212514291861,-164.31558393469473,105.01328740062158,-149.46803163310932,-0.2558145419333556,0.953828008031461
4.034,(-0.1515521141134516-0.04250208040217503j),(-0.255507528057104+0.9539084664372738j),(-0.0002321219791119233-0.0001368276613098942j),-16.059956253086302,-0.10894969550504444,-71.39048890578152,-164.3340965262087,104.99487354488788,-149.482160766295,-0.255507528057104,0.9539084664372738
4.035,(-0.1515765174413222-0.04245608608817029j),(-0.2552004658743883+0.9539888314570536j),(-0.0002340925197446638-0.0001379114369663634j),-16.059344544940767,-0.10896524149454578,-71.31832593939181,-164.35261464979095,104.97645831784857,-149.49629240500562,-0.2552004658743883,0.9539888314570536
