,S11,S21,S31
4.08,(-0.1305168718807112-0.01938053550040036j),(-0.2434996248478364+0.9608850526867899j),(-0.0002258007324981416-0.0001146739126749854j)
4.081,(-0.1305344834501044-0.01933580830408475j),(-0.2431898096453073+0.9609620276965355j),(-0.0002270284162760376-0.0001152225869764584j)
4.082,(-0.1305520753498943-0.01929106353768114j),(-0.2428799615088802+0.9610389054361919j),(-0.0002282680929243683-0.0001157765501029448j)
4.083,(-0.1305696477070292-0.0192463011370865j),(-0.2425700803200641+0.9611156859102109j),(-0.000229519937893607-0.0001163358792992458j)
4.084,(-0.1305872006511106-0.01920152103656966j),(-0.242260165957464+0.9611923691232321j),(-0.0002307841300947524-0.0001169006533096318j)
4.085,(-0.1306047343144592-0.01915672316873078j),(-0.2419502182967077+0.9612689550800935j),(-0.0002320608519446596-0.0001174709524382659j)
4.086,(-0.1306222488321811-0.01911190746446017j),(-0.241640237210376+0.9613454437858304j),(-0.0002333502894830356-0.0001180468585660087j)
4.087,(-0.1306397443422369-0.0190670738528956j),(-0.2413302225679219+0.9614218352456847j),(-0.0002346526324339735-0.0001186284552106639j)
4.088,(-0.130657220985513-0.01902222226137787j),(-0.2410201742355961+0.961498129465108j),(-0.0002359680743323645-0.000119215827551216j)
4.089,(-0.1306746789058942-0.01897735261540648j),(-0.2407100920763666+0.9615743264497658j),(-0.0002372968125919741-0.0001198090624773374j)
4.09,(-0.1306921182503392-0.01893246483859206j),(-0.2403999759498338+0.9616504262055434j),(-0.0002386390486063888-0.0001204082486310871j)
4.091,(-0.1307095391689583-0.01888755885260894j),(-0.2400898257121472+0.9617264287385525j),(-0.0002399949878613946-0.0001210134764521661j)
4.092,(-0.1307269418150934-0.01884263457714538j),(-0.2397796412159155+0.9618023340551344j),(-0.0002413648400428331-0.0001216248382188907j)
4.093,(-0.1307443263454004-0.01879769192985247j),(-0.2394694223101172+0.9618781421618677j),(-0.0002427488191184496-0.0001222424281065825j)
4.094,(-0.130761692919934-0.01875273082629162j),(-0.2391591688400078+0.9619538530655725j),(-0.0002441471434750047-0.0001228663422192541j)
4.095,(-0.1307790417022354-0.01870775117988033j),(-0.2388488806470229+0.9620294667733167j),(-0.0002455600360214688-0.000123496678655871j)
4.096,(-0.1307963728594232-0.01866275290183608j),(-0.2385385575686766+0.9621049832924242j),(-0.0002469877242999095-0.0001241335375539691j)
4.097,(-0.1308136865622857-0.01861773590111865j),(-0.2382281994384625+0.9621804026304792j),(-0.0002484304406284422-0.0001247770211444604j)
4.098,(-0.1308309829853774-0.01857270008437098j),(-0.2379178060857465+0.9622557247953323j),(-0.0002498884222051774-0.0001254272338029408j)
4.099,(-0.1308482623071189-0.01852764535585693j),(-0.2376073773356573+0.9623309497951104j),(-0.000251361911241699-0.0001260842821158901j)
4.1,(-0.1308655247098979-0.01848257161739866j),(-0.2372969130089734+0.96240607763822j),(-0.0002528511551080182-0.0001267482749287886j)
4.101,(-0.1308827703801759-0.01843747876831078j),(-0.2369864129220093+0.9624811083333564j),(-0.0002543564064546099-0.000127419323413082j)
4.102,(-0.1308999995085968-0.01839236670533301j),(-0.2366758768864929+0.9625560418895125j),(-0.0002558779233645615-0.0001280975411255601j)
4.103,(-0.1309172122900996-0.01834723532256061j),(-0.2363653047094442+0.9626308783159833j),(-0.0002574159694982439-0.0001287830440752045j)
4.104,(-0.1309344089240345-0.01830208451137176j),(-0.2360546961930441+0.9627056176223768j),(-0.000258970814243853-0.0001294759507881083j)
4.105,(-0.1309515896142828-0.01825691416035399j),(-0.2357440511345064+0.9627802598186197j),(-0.0002605427328644405-0.0001301763823728641j)
4.106,(-0.1309687545693816-0.01821172415522692j),(-0.2354333693259389+0.9628548049149682j),(-0.0002621320066930921-0.0001308844625965921j)
4.107,(-0.1309859040026508-0.01816651437876308j),(-0.2351226505542024+0.9629292529220157j),(-0.0002637389232485797-0.000131600317957823j)
4.108,(-0.1310030381323266-0.01812128471070567j),(-0.234811894600767+0.9630036038507017j),(-0.0002653637764497047-0.0001323240777593368j)
4.109,(-0.1310201571816971-0.01807603502768423j),(-0.2345011012415597+0.963077857712322j),(-0.0002670068667792657-0.0001330558741898808j)
4.11,(-0.1310372613792448-0.01803076520312687j),(-0.2341902702468099+0.963152014518537j),(-0.0002686685014515918-0.0001337958423995228j)
4.111,(-0.1310543509587922-0.01798547510716948j),(-0.2338794013808895+0.963226074281383j),(-0.0002703489946398741-0.0001345441205892479j)
4.112,(-0.131071426159653-0.0179401646065624j),(-0.2335684944021442+0.9633000370132826j),(-0.0002720486676510032-0.0001353008500897613j)
4.113,(-0.1310884872267885-0.01789483356457335j),(-0.2332575490627231+0.9633739027270556j),(-0.0002737678491108431-0.000136066175462701j)
4.114,(-0.1311055344109693-0.01784948184088757j),(-0.2329465651084022+0.9634476714359261j),(-0.0002755068752076784-0.0001368402445850706j)
4.115,(-0.1311225679689427-0.01780410929150356j),(-0.2326355422783971+0.9635213431535413j),(-0.0002772660899037208-0.0001376232087405201j)
4.116,(-0.1311395881636058-0.01775871576862638j),(-0.2323244803051757+0.9635949178939771j),(-0.000279045845144927-0.0001384152227308478j)
4.117,(-0.1311565952641847-0.01771330112055616j),(-0.2320133789142582+0.9636683956717538j),(-0.0002808465011104657-0.0001392164449645098j)
4.118,(-0.13117358954642-0.01766786519157375j),(-0.2317022378240169+0.9637417765018458j),(-0.0002826684264369818-0.0001400270375749792j)
4.119,(-0.131190571292759-0.01762240782182057j),(-0.2313910567454606+0.9638150603996981j),(-0.00028451199848884-0.0001408471665260897j)
4.12,(-0.1312075407925546-0.0175769288471768j),(-0.231079835382018+0.9638882473812385j),(-0.0002863776036104679-0.0001416770017200698j)
4.121,(-0.1312244983422716-0.01753142809913203j),(-0.2307685734293115+0.9639613374628903j),(-0.000288265637387224-0.0001425167171238622j)
4.122,(-0.1312414442456998-0.01748590540465447j),(-0.2304572705749215+0.9640343306615892j),(-0.0002901765049359241-0.0001433664908855837j)
4.123,(-0.1312583788141759-0.01744036058605265j),(-0.2301459264981419+0.9641072269947971j),(-0.00029211062117582-0.0001442265054640885j)
4.124,(-0.1312753023668123-0.01739479346083363j),(-0.2298345408697304+0.9641800264805177j),(-0.000294068411152939-0.0001450969477590124j)
4.125,(-0.1312922152307354-0.01734920384155578j),(-0.2295231133516442+0.9642527291373135j),(-0.0002960503103274098-0.0001459780092462206j)
4.126,(-0.131309117741332-0.01730359153567589j),(-0.2292116435967701+0.9643253349843226j),(-0.0002980567648958048-0.0001468698861211058j)
4.127,(-0.131326010242505-0.0172579563453901j),(-0.2289001312486447+0.9643978440412744j),(-0.0003000882321521843-0.0001477727794399483j)
4.128,(-0.1313428930869391-0.01721229806747022j),(-0.2285885759411582+0.964470256328511j),(-0.0003021451807921028-0.0001486868952760231j)
4.129,(-0.1313597666363756-0.01716661649309232j),(-0.2282769772982557+0.9645425718670023j),(-0.0003042280913146757-0.0001496124448758654j)
4.13,(-0.1313766312618992-0.0171209114076597j),(-0.2279653349336198+0.9646147906783682j),(-0.0003063374563448039-0.0001505496448232185j)
4.131,(-0.1313934873442336-0.01707518259061958j),(-0.2276536484503477+0.9646869127848987j),(-0.0003084737810836419-0.0001514987172050758j)
4.132,(-0.1314103352740504-0.01702942981527092j),(-0.2273419174406077+0.9647589382095723j),(-0.0003106375836523143-0.0001524598897876089j)
4.133,(-0.1314271754522888-0.01698365284856708j),(-0.2270301414852908+0.964830866976082j),(-0.0003128293955322435-0.0001534333962149051j)
4.134,(-0.1314440082904881-0.01693785145090905j),(-0.226718320153643+0.9649026991088531j),(-0.0003150497620105056-0.0001544194761676597j)
4.135,(-0.1314608342111337-0.01689202537593114j),(-0.2264064530028869+0.9649744346330718j),(-0.0003172992426094108-0.0001554183755918091j)
4.136,(-0.1314776536480152-0.01684617437027897j),(-0.2260945395778237+0.9650460735747048j),(-0.0003195784115687786-0.0001564303468869255j)
4.137,(-0.1314944670466009-0.01680029817337711j),(-0.2257825794104265+0.9651176159605284j),(-0.00032188785832509-0.0001574556491198788j)
4.138,(-0.1315112748644255-0.01675439651718881j),(-0.2254705720194086+0.9651890618181537j),(-0.0003242281880089202-0.0001584945482589901j)
