,S11,S21,S31
6.969,(-0.06352884782125094+0.08028425249922673j),(0.6256714304631833+0.7733253215941145j),(0.0001402664753434338-4.07957966564155e-05j)
6.97,(-0.06347953015659404+0.080286668018265j),(0.6259234201189264+0.7731251635491764j),(0.0001403619580404632-4.086376709035645e-05j)
6.971,(-0.06343021031118876+0.08028905134445187j),(0.6261753476388598+0.7729249223157062j),(0.0001404576036563607-4.093184635831419e-05j)
6.972,(-0.06338088830615525+0.08029140247594517j),(0.626427212994952+0.7727245979109573j),(0.000140553412538566-4.100003472251191e-05j)
6.973,(-0.06333156416261622+0.0802937214109174j),(0.6266790161591743+0.7725241903521923j),(0.0001406493850341499-4.106833244580695e-05j)
6.974,(-0.06328223790169595+0.08029600814755739j),(0.6269307571035022+0.772323699656683j),(0.0001407455214920648-4.113673979113096e-05j)
6.975,(-0.06323290954452172+0.0802982626840691j),(0.6271824357999143+0.77212312584171j),(0.0001408418222608988-4.120525702275708e-05j)
6.976,(-0.06318357911222054+0.08030048501867071j),(0.6274340522203928+0.7719224689245625j),(0.0001409382876922557-4.127388440616449e-05j)
6.977,(-0.06313424662592282+0.08030267514959741j),(0.6276856063369234+0.7717217289225387j),(0.0001410349181368191-4.13426222060684e-05j)
6.978,(-0.0630849121067604+0.08030483307509884j),(0.6279370981214956+0.7715209058529455j),(0.0001411317139482982-4.14114706902273e-05j)
6.979,(-0.06303557557586684+0.08030695879343923j),(0.6281885275461013+0.7713199997330987j),(0.0001412286754797696-4.148043012521796e-05j)
6.98,(-0.06298623705437685+0.08030905230289931j),(0.6284398945827374+0.7711190105803227j),(0.0001413258030870645-4.154950077968141e-05j)
6.981,(-0.06293689656342798+0.08031111360177481j),(0.6286911992034034+0.7709179384119514j),(0.0001414230971256699-4.16186829220677e-05j)
6.982,(-0.06288755412415899+0.0803131426883764j),(0.6289424413801026+0.7707167832453268j),(0.0001415205579524238-4.168797682247494e-05j)
6.983,(-0.06283820975771028+0.08031513956103062j),(0.6291936210848412+0.7705155450977995j),(0.0001416181859258043-4.175738275138125e-05j)
6.984,(-0.06278886348522383+0.08031710421807838j),(0.6294447382896294+0.7703142239867303j),(0.0001417159814053684-4.182690097992943e-05j)
6.985,(-0.06273951532784428+0.08031903665787832j),(0.6296957929664816+0.770112819929487j),(0.0001418139447517566-4.189653178092198e-05j)
6.986,(-0.06269016530671663+0.08032093687880128j),(0.6299467850874148+0.7699113329434472j),(0.0001419120763252783-4.196627542655684e-05j)
6.987,(-0.06264081344298841+0.08032280487923549j),(0.6301977146244496+0.7697097630459975j),(0.0001420103764896008-4.203613219098169e-05j)
6.988,(-0.06259145975780928+0.0803246406575844j),(0.6304485815496105+0.7695081102545326j),(0.0001421088456089213-4.210610234916381e-05j)
6.989,(-0.06254210427232833+0.08032644421226627j),(0.6306993858349248+0.7693063745864566j),(0.0001422074840474004-4.217618617618232e-05j)
6.99,(-0.06249274700769986+0.08032821554171506j),(0.6309501274524245+0.7691045560591825j),(0.0001423062921708689-4.224638394794057e-05j)
6.991,(-0.06244338798507606+0.08032995464437995j),(0.6312008063741441+0.7689026546901312j),(0.000142405270346549-4.231669594244993e-05j)
6.992,(-0.06239402722561372+0.08033166151872574j),(0.6314514225721222+0.7687006704967332j),(0.0001425044189439147-4.238712243741652e-05j)
6.993,(-0.06234466475046962+0.08033333616323274j),(0.6317019760184012+0.7684986034964274j),(0.0001426037383307086-4.245766371123687e-05j)
6.994,(-0.06229530058080252+0.08033497857639656j),(0.6319524666850258+0.768296453706662j),(0.0001427032288783566-4.252832004357258e-05j)
6.995,(-0.06224593473777276+0.08033658875672751j),(0.6322028945440459+0.7680942211448933j),(0.0001428028909588399-4.259909171549683e-05j)
6.996,(-0.06219656724254261+0.08033816670275289j),(0.6324532595675139+0.767891905828587j),(0.0001429027249444136-4.266997900764289e-05j)
6.997,(-0.06214719811627543+0.08033971241301406j),(0.6327035617274858+0.7676895077752174j),(0.0001430027312098924-4.27409822026329e-05j)
6.998,(-0.06209782738013596+0.0803412258860683j),(0.6329538009960227+0.767487027002267j),(0.0001431029101295159-4.281210158293926e-05j)
6.999,(-0.06204845505529111+0.08034270712048847j),(0.6332039773451867+0.7672844635272278j),(0.000143203262080093-4.288333743317469e-05j)
7.0,(-0.06199908116290914+0.08034415611486334j),(0.6334540907470453+0.7670818173676001j),(0.0001433037874392947-4.295469003752196e-05j)
7.001,(-0.06194970572415949+0.08034557286779537j),(0.6337041411736692+0.7668790885408936j),(0.000143404486585083-4.302615968173861e-05j)
7.002,(-0.06190032876021343+0.080346957377905j),(0.6339541285971328+0.7666762770646264j),(0.000143505359898868-4.309774665230347e-05j)
7.003,(-0.06185095029224348+0.08034830964382547j),(0.6342040529895135+0.7664733829563247j),(0.0001436064077606402-4.316945123684821e-05j)
7.004,(-0.06180157034142374+0.08034962966420829j),(0.6344539143228928+0.7662704062335248j),(0.0001437076305524133-4.324127372301399e-05j)
7.005,(-0.06175218892893013+0.08035091743771858j),(0.6347037125693559+0.7660673469137713j),(0.0001438090286576563-4.331321440060724e-05j)
7.006,(-0.06170280607593909+0.08035217296303673j),(0.634953447700991+0.7658642050146164j),(0.0001439106024621623-4.338527355901907e-05j)
7.007,(-0.06165342180362941+0.08035339623886j),(0.6352031196898911+0.7656609805536227j),(0.0001440123523508903-4.3457451489238e-05j)
7.008,(-0.06160403613318088+0.08035458726390023j),(0.6354527285081519+0.7654576735483608j),(0.0001441142787108434-4.352974848313663e-05j)
7.009,(-0.06155464908577502+0.08035574603688611j),(0.6357022741278725+0.7652542840164102j),(0.0001442163819302114-4.360216483304237e-05j)
7.01,(-0.06150526068259452+0.08035687255655924j),(0.635951756521156+0.7650508119753587j),(0.0001443186623989523-4.367470083289321e-05j)
7.011,(-0.06145587094482301+0.08035796682167899j),(0.6362011756601096+0.7648472574428032j),(0.0001444211205070673-4.374735677694443e-05j)
7.012,(-0.06140647989364612+0.08035902883101965j),(0.6364505315168436+0.7646436204363496j),(0.0001445237566472003-4.382013296034822e-05j)
7.013,(-0.06135708755025084+0.08036005858337107j),(0.6366998240634723+0.7644399009736123j),(0.0001446265712123358-4.389302967959016e-05j)
7.014,(-0.06130769393582524+0.08036105607753859j),(0.6369490532721132+0.7642360990722143j),(0.0001447295645966676-4.396604723206055e-05j)
7.015,(-0.06125829907155882+0.08036202131234271j),(0.6371982191148877+0.7640322147497876j),(0.0001448327371958941-4.403918591490014e-05j)
7.016,(-0.06120890297864266+0.08036295428662052j),(0.6374473215639206+0.7638282480239728j),(0.0001449360894066428-4.41124460277511e-05j)
7.017,(-0.06115950567826822+0.08036385499922348j),(0.6376963605913409+0.7636241989124194j),(0.0001450396216270554-4.418582787044749e-05j)
7.018,(-0.0611101071916296+0.08036472344901957j),(0.637945336169281+0.7634200674327852j),(0.0001451433342567926-4.425933174345119e-05j)
7.019,(-0.06106070753992103+0.08036555963489175j),(0.6381942482698767+0.7632158536027369j),(0.0001452472276967501-4.433295794887049e-05j)
7.02,(-0.06101130674433898+0.08036636355573859j),(0.6384430968652681+0.7630115574399506j),(0.0001453513023479006-4.44067067894489e-05j)
7.021,(-0.06096190482607977+0.08036713521047494j),(0.6386918819275986+0.7628071789621103j),(0.0001454555586144933-4.448057856856894e-05j)
7.022,(-0.06091250180634297+0.08036787459803083j),(0.6389406034290149+0.762602718186909j),(0.0001455599968994106-4.455457359039857e-05j)
7.023,(-0.06086309770632749+0.08036858171735124j),(0.6391892613416681+0.7623981751320484j),(0.0001456646176099855-4.462869216106041e-05j)
7.024,(-0.06081369254723468+0.08036925656739811j),(0.6394378556377126+0.7621935498152388j),(0.0001457694211521931-4.470293458616133e-05j)
7.025,(-0.06076428635026623+0.08036989914714751j),(0.6396863862893071+0.7619888422541993j),(0.0001458744079347252-4.477730117428999e-05j)
7.026,(-0.06071487913662613+0.08037050945559282j),(0.6399348532686129+0.7617840524666579j),(0.0001459795783669602-4.485179223250569e-05j)
7.027,(-0.06066547092751826+0.08037108749174153j),(0.6401832565477961+0.761579180470351j),(0.0001460849328592571-4.492640807042027e-05j)
7.028,(-0.06061606174414857+0.08037163325461764j),(0.6404315960990259+0.7613742262830242j),(0.0001461904718247117-4.500114899889332e-05j)
7.029,(-0.0605666516077237+0.08037214674326025j),(0.6406798718944753+0.7611691899224311j),(0.0001462961956768291-4.50760153285746e-05j)
7.03,(-0.06051724053945157+0.08037262795672481j),(0.6409280839063212+0.7609640714063343j),(0.0001464021048292325-4.51510073709275e-05j)
7.031,(-0.06046782856054158+0.08037307689408209j),(0.6411762321067441+0.7607588707525056j),(0.0001465081996985908-4.522612544028224e-05j)
7.032,(-0.0604184156922038+0.0803734935544184j),(0.6414243164679282+0.7605535879787243j),(0.0001466144807022879-4.530136985018382e-05j)
7.033,(-0.06036900195564922+0.0803738779368356j),(0.6416723369620619+0.7603482231027799j),(0.0001467209482598898-4.537674091588186e-05j)
7.034,(-0.06031958737209039+0.08037423004045176j),(0.641920293561337+0.7601427761424695j),(0.0001468276027905134-4.545223895360279e-05j)
7.035,(-0.06027017196274092+0.08037454986440015j),(0.6421681862379484+0.7599372471155991j),(0.0001469344447157614-4.5527864279527e-05j)
7.036,(-0.06022075574881514+0.0803748374078304j),(0.6424160149640957+0.7597316360399838j),(0.0001470414744576737-4.560361721228556e-05j)
7.037,(-0.0601713387515285+0.08037509266990676j),(0.6426637797119824+0.7595259429334466j),(0.000147148692441671-4.567949807091227e-05j)
7.038,(-0.06012192099209808+0.08037531564981032j),(0.6429114804538152+0.7593201678138197j),(0.0001472560990924476-4.575550717543262e-05j)
7.039,(-0.06007250249174047+0.08037550634673707j),(0.6431591171618048+0.7591143106989442j),(0.0001473636948369131-4.583164484672116e-05j)
7.04,(-0.06002308327167537+0.0803756647598995j),(0.6434066898081652+0.7589083716066695j),(0.0001474714801030231-4.590791140679941e-05j)
7.041,(-0.05997366335312151+0.0803757908885248j),(0.6436541983651146+0.7587023505548535j),(0.0001475794553206672-4.598430717884037e-05j)
7.042,(-0.05992424275730027+0.08037588473185696j),(0.6439016428048756+0.7584962475613631j),(0.0001476876209207918-4.60608324868778e-05j)
7.043,(-0.05987482150543257+0.08037594628915506j),(0.6441490230996731+0.758290062644074j),(0.0001477959773354038-4.613748765551429e-05j)
7.044,(-0.05982539961874109+0.08037597555969433j),(0.6443963392217377+0.75808379582087j),(0.0001479045249978706-4.62142730114012e-05j)
7.045,(-0.05977597711844913+0.08037597254276517j),(0.6446435911433017+0.7578774471096441j),(0.0001480132643438127-4.62911888813246e-05j)
7.046,(-0.05972655402578156+0.08037593723767483j),(0.6448907788366032+0.7576710165282975j),(0.0001481221958093363-4.636823559383298e-05j)
7.047,(-0.05967713036196269+0.080375869643745j),(0.6451379022738828+0.7574645040947404j),(0.000148231319832221-4.644541347702359e-05j)
7.048,(-0.05962770614821986+0.08037576976031408j),(0.6453849614273852+0.7572579098268918j),(0.0001483406368519246-4.652272286224506e-05j)
7.049,(-0.05957828140577898+0.08037563758673591j),(0.645631956269359+0.7570512337426786j),(0.0001484501473098877-4.66001640806995e-05j)
7.05,(-0.05952885615586881+0.08037547312238053j),(0.6458788867720572+0.7568444758600368j),(0.0001485598516462767-4.667773746388641e-05j)
7.051,(-0.0594794304197172+0.08037527636663248j),(0.646125752907736+0.7566376361969112j),(0.0001486697503065125-4.675544334568485e-05j)
7.052,(-0.05943000421855451+0.08037504731889436j),(0.6463725546486557+0.7564307147712549j),(0.0001487798437341577-4.683328206027999e-05j)
7.053,(-0.05938057757361141+0.0803747859785829j),(0.64661929196708+0.75622371160103j),(0.0001488901323765611-4.691125394335579e-05j)
7.054,(-0.059331150506118+0.08037449234513051j),(0.6468659648352769+0.7560166267042066j),(0.0001490006166807052-4.698935933090914e-05j)
7.055,(-0.05928172303730732+0.0803741664179866j),(0.6471125732255182+0.7558094600987644j),(0.0001491112970964815-4.706759856103934e-05j)
7.056,(-0.0592322951884116+0.08037380819661553j),(0.6473591171100795+0.7556022118026906j),(0.000149222174074317-4.714597197246514e-05j)
7.057,(-0.05918286698066524+0.08037341768049845j),(0.6476055964612404+0.755394881833982j),(0.000149333248066072-4.722447990408011e-05j)
7.058,(-0.05913343843530167+0.08037299486913084j),(0.6478520112512838+0.7551874702106433j),(0.0001494445195256415-4.730312269793873e-05j)
7.059,(-0.05908400957355654+0.08037253976202491j),(0.6480983614524976+0.7549799769506876j),(0.0001495559889083675-4.738190069448887e-05j)
7.06,(-0.05903458041666537+0.08037205235870921j),(0.6483446470371721+0.7547724020721379j),(0.0001496676566707438-4.746081423794672e-05j)
7.061,(-0.058985150985865+0.08037153265872805j),(0.6485908679776036+0.7545647455930248j),(0.0001497795232701232-4.753986367152457e-05j)
7.062,(-0.05893572130239257+0.08037098066164045j),(0.648837024246089+0.7543570075313876j),(0.0001498915891671148-4.761904934117028e-05j)
7.063,(-0.0588862913874859+0.08037039636702281j),(0.6490831158149334+0.7541491879052739j),(0.000150003854822003-4.769837159243098e-05j)
7.064,(-0.05883686126238337+0.08036977977446555j),(0.6493291426564424+0.7539412867327404j),(0.0001501163206968431-4.777783077285089e-05j)
7.065,(-0.05878743094832476+0.08036913088357783j),(0.6495751047429263+0.7537333040318523j),(0.0001502289872569703-4.78574272310794e-05j)
7.066,(-0.05873800046655003+0.08036844969398224j),(0.6498210020467003+0.7535252398206835j),(0.0001503418549665078-4.793716131657412e-05j)
7.067,(-0.05868856983829893+0.08036773620531786j),(0.6500668345400831+0.7533170941173158j),(0.0001504549242937714-4.801703338020645e-05j)
7.068,(-0.05863913908481392+0.08036699041724113j),(0.6503126021953961+0.7531088669398409j),(0.0001505681957061733-4.809704377351404e-05j)
7.069,(-0.05858970822733549+0.08036621232942169j),(0.6505583049849668+0.7529005583063573j),(0.0001506816696741316-4.817719284975801e-05j)
7.07,(-0.0585402772871066+0.08036540194154762j),(0.6508039428811245+0.7526921682349734j),(0.0001507953466698772-4.825748096257413e-05j)
7.071,(-0.05849084628536994+0.0803645592533222j),(0.6510495158562042+0.752483696743806j),(0.0001509092271662553-4.833790846793306e-05j)
7.072,(-0.05844141524336926+0.08036368426446351j),(0.6512950238825437+0.7522751438509798j),(0.0001510233116379347-4.84184757215862e-05j)
7.073,(-0.05839198418234826+0.08036277697470778j),(0.6515404669324849+0.7520665095746287j),(0.0001511376005605097-4.849918308102687e-05j)
7.074,(-0.058342553123552+0.08036183738380522j),(0.6517858449783746+0.7518577939328952j),(0.0001512520944120136-4.85800309048932e-05j)
7.075,(-0.05829312208822487+0.08036086549152298j),(0.6520311579925627+0.7516489969439297j),(0.0001513667936729289-4.866101955387997e-05j)
7.076,(-0.05824369109761315+0.08035986129764404j),(0.6522764059474033+0.7514401186258912j),(0.0001514816988225674-4.874214938741784e-05j)
7.077,(-0.05819426017296236+0.08035882480196724j),(0.6525215888152537+0.7512311589969483j),(0.0001515968103445133-4.882342076896806e-05j)
7.078,(-0.0581448293355192+0.08035775600430718j),(0.652766706568477+0.7510221180752767j),(0.0001517121287227033-4.890483406164437e-05j)
7.079,(-0.05809539860653096+0.08035665490449578j),(0.653011759179439+0.7508129958790618j),(0.0001518276544426406-4.898638962942482e-05j)
7.08,(-0.05804596800724433+0.08035552150237849j),(0.653256746620509+0.750603792426497j),(0.0001519433879917039-4.906808783852087e-05j)
7.081,(-0.05799653755890787+0.08035435579781987j),(0.6535016688640617+0.7503945077357841j),(0.0001520593298591557-4.914992905541242e-05j)
7.082,(-0.05794710728276978+0.08035315779069788j),(0.6537465258824748+0.7501851418251335j),(0.0001521754805343264-4.923191364791223e-05j)
7.083,(-0.05789767720007873+0.08035192748090814j),(0.6539913176481309+0.7499756947127648j),(0.0001522918405105677-4.93140419859326e-05j)
7.084,(-0.05784824733208338+0.08035066486836098j),(0.6542360441334155+0.749766166416905j),(0.0001524084102810087-4.939631443921008e-05j)
7.085,(-0.0577988177000335+0.08034936995298393j),(0.6544807053107189+0.7495565569557904j),(0.0001525251903409909-4.947873137974204e-05j)
7.086,(-0.05774938832517879+0.08034804273472011j),(0.6547253011524353+0.7493468663476651j),(0.0001526421811874684-4.956129318042407e-05j)
7.087,(-0.05769995922876976+0.08034668321352928j),(0.6549698316309625+0.7491370946107828j),(0.0001527593833199281-4.964400021535885e-05j)
7.088,(-0.05765053043205607+0.08034529138938579j),(0.6552142967187033+0.7489272417634044j),(0.0001528767972367392-4.972685285955504e-05j)
7.089,(-0.05760110195628894+0.08034386726228138j),(0.6554586963880641+0.7487173078238003j),(0.000152994423441867-4.980985148969634e-05j)
7.09,(-0.05755167382271958+0.0803424108322236j),(0.6557030306114545+0.7485072928102489j),(0.0001531122624378653-4.989299648338191e-05j)
7.091,(-0.05750224605259909+0.08034092209923616j),(0.6559472993612893+0.7482971967410368j),(0.000153230314729848-4.997628821943758e-05j)
7.092,(-0.05745281866717913+0.0803394010633584j),(0.6561915026099872+0.74808701963446j),(0.0001533485808251933-5.005972707837977e-05j)
7.093,(-0.05740339168771139+0.08033784772464629j),(0.6564356403299699+0.7478767615088225j),(0.0001534670612323268-5.014331344119636e-05j)
7.094,(-0.05735396513544837+0.08033626208317152j),(0.6566797124936654+0.7476664223824363j),(0.0001535857564622593-5.022704769149557e-05j)
7.095,(-0.05730453903164247+0.08033464413902257j),(0.6569237190735029+0.7474560022736226j),(0.0001537046670255296-5.031093021183361e-05j)
7.096,(-0.05725511339754533+0.08033299389230245j),(0.6571676600419184+0.7472455012007104j),(0.0001538237934368071-5.039496138862491e-05j)
7.097,(-0.05720568825441039+0.08033131134313257j),(0.65741153537135+0.7470349191820378j),(0.0001539431362112223-5.047914160816171e-05j)
7.098,(-0.05715626362349026+0.08032959649164875j),(0.6576553450342414+0.7468242562359511j),(0.0001540626958662137-5.056347125738326e-05j)
7.099,(-0.05710683952603785+0.08032784933800349j),(0.6578990890030388+0.7466135123808044j),(0.000154182472919998-5.064795072587836e-05j)
7.1,(-0.05705741598330712+0.08032606988236626j),(0.6581427672501939+0.7464026876349619j),(0.0001543024678937292-5.07325804038947e-05j)
7.101,(-0.05700799301655068+0.08032425812492135j),(0.6583863797481622+0.7461917820167939j),(0.0001544226813093543-5.081736068295782e-05j)
7.102,(-0.0569585706470218+0.08032241406586939j),(0.6586299264694034+0.7459807955446811j),(0.0001545431136908486-5.090229195587621e-05j)
7.103,(-0.05690914889597443+0.08032053770542848j),(0.6588734073863808+0.7457697282370119j),(0.0001546637655645339-5.098737461690146e-05j)
7.104,(-0.05685972778466226+0.08031862904383144j),(0.659116822471562+0.7455585801121831j),(0.0001547846374578521-5.107260906111571e-05j)
7.105,(-0.05681030733433843+0.08031668808132855j),(0.6593601716974193+0.7453473511886001j),(0.0001549057298993696-5.115799568613564e-05j)
7.106,(-0.05676088756625709+0.08031471481818482j),(0.6596034550364284+0.7451360414846762j),(0.000155027043421258-5.124353488887494e-05j)
7.107,(-0.05671146850167199+0.08031270925468278j),(0.6598466724610698+0.7449246510188337j),(0.0001551485785555919-5.132922707002989e-05j)
7.108,(-0.05666205016183657+0.08031067139112048j),(0.6600898239438279+0.7447131798095032j),(0.0001552703358374489-5.1415072629293e-05j)
7.109,(-0.05661263256800553+0.08030860122781285j),(0.6603329094571911+0.7445016278751238j),(0.0001553923158027497-5.150107196875959e-05j)
7.11,(-0.05656321574143143+0.08030649876509016j),(0.6605759289736519+0.7442899952341421j),(0.0001555145189910557-5.158722549231763e-05j)
7.111,(-0.05651379970336919+0.08030436400329964j),(0.6608188824657076+0.7440782819050141j),(0.0001556369459403036-5.167353360456642e-05j)
7.112,(-0.05646438447507132+0.08030219694280405j),(0.6610617699058592+0.7438664879062044j),(0.000155759597193948-5.175999671128832e-05j)
7.113,(-0.0564149700777927+0.08029999758398368j),(0.6613045912666118+0.743654613256185j),(0.0001558824732956959-5.184661522022941e-05j)
7.114,(-0.05636555653278606+0.08029776592723384j),(0.6615473465204756+0.7434426579734366j),(0.0001560055747904422-5.193338953970739e-05j)
7.115,(-0.05631614386130498+0.08029550197296596j),(0.6617900356399636+0.7432306220764483j),(0.0001561289022258312-5.202032008032746e-05j)
7.116,(-0.05626673208460312+0.0802932057216094j),(0.6620326585975943+0.7430185055837182j),(0.0001562524561513339-5.210740725327709e-05j)
7.117,(-0.05621732122393389+0.08029087717360846j),(0.6622752153658895+0.7428063085137521j),(0.0001563762371173188-5.21946514714202e-05j)
7.118,(-0.05616791130055012+0.08028851632942344j),(0.662517705917376+0.7425940308850635j),(0.000156500245677242-5.228205314883636e-05j)
7.119,(-0.05611850233570461+0.08028612318953214j),(0.6627601302245838+0.742381672716176j),(0.0001566244823860967-5.236961270176278e-05j)
7.12,(-0.05606909435065074+0.08028369775442806j),(0.6630024882600484+0.74216923402562j),(0.0001567489478004206-5.24573305467271e-05j)
7.121,(-0.05601968736664057+0.08028124002462042j),(0.6632447799963085+0.741956714831935j),(0.0001568736424783019-5.254520710211336e-05j)
7.122,(-0.05597028140492711+0.08027875000063611j),(0.6634870054059078+0.7417441151536687j),(0.000156998566980325-5.263324278832662e-05j)
7.123,(-0.05592087648676213+0.08027622768301737j),(0.6637291644613939+0.741531435009377j),(0.0001571237218695822-5.272143802592087e-05j)
7.124,(-0.05587147263339792+0.08027367307232305j),(0.6639712571353183+0.741318674417624j),(0.0001572491077098002-5.280979323795156e-05j)
7.125,(-0.05582206986608576+0.08027108616912834j),(0.6642132834002376+0.7411058333969827j),(0.0001573747250672278-5.289830884841714e-05j)
7.126,(-0.05577266820607773+0.08026846697402462j),(0.6644552432287122+0.740892911966034j),(0.000157500574510018-5.298698528226287e-05j)
7.127,(-0.05572326767462459+0.08026581548761999j),(0.664697136593307+0.7406799101433666j),(0.0001576266566079207-5.307582296711397e-05j)
7.128,(-0.05567386829297728+0.08026313171053863j),(0.664938963466591+0.7404668279475788j),(0.0001577529719335489-5.316482233108443e-05j)
7.129,(-0.05562447008238668+0.08026041564342153j),(0.6651807238211372+0.7402536653972754j),(0.000157879521059871-5.325398380388067e-05j)
7.13,(-0.05557507306410266+0.08025766728692518j),(0.6654224176295239+0.7400404225110718j),(0.0001580063045639943-5.334330781696695e-05j)
7.131,(-0.055525677259375+0.0802548866417239j),(0.6656640448643327+0.7398270993075893j),(0.0001581333230227669-5.343279480262529e-05j)
7.132,(-0.05547628268945382+0.08025207370850675j),(0.6659056054981499+0.739613695805459j),(0.0001582605770162486-5.352244519553808e-05j)
7.133,(-0.05542688937558817+0.08024922848798056j),(0.6661470995035662+0.7394002120233198j),(0.0001583880671270925-5.361225943137643e-05j)
7.134,(-0.05537749733902647+0.08024635098086802j),(0.6663885268531767+0.7391866479798193j),(0.0001585157939377113-5.370223794632959e-05j)
7.135,(-0.05532810660101734+0.08024344118790759j),(0.6666298875195804+0.7389730036936124j),(0.0001586437580350211-5.379238118011407e-05j)
7.136,(-0.05527871718280861+0.08024049910985596j),(0.6668711814753816+0.7387592791833636j),(0.0001587719600066615-5.388268957266254e-05j)
7.137,(-0.05522932910564746+0.08023752474748466j),(0.6671124086931873+0.7385454744677441j),(0.000158900400441316-5.397316356444211e-05j)
7.138,(-0.0551799423907812+0.08023451810158168j),(0.6673535691456108+0.7383315895654345j),(0.0001590290799325207-5.406380359994614e-05j)
7.139,(-0.05513055705945671+0.08023147917295306j),(0.6675946628052681+0.7381176244951235j),(0.0001591579990736072-5.415461012326588e-05j)
7.14,(-0.05508117313291963+0.08022840796241919j),(0.6678356896447811+0.7379035792755075j),(0.0001592871584596092-5.424558357967844e-05j)
7.141,(-0.05503179063241586+0.08022530447081914j),(0.6680766496367749+0.7376894539252912j),(0.0001594165586891744-5.433672441803586e-05j)
7.142,(-0.05498240957918953+0.08022216869900595j),(0.6683175427538797+0.7374752484631885j),(0.0001595462003626723-5.442803308696215e-05j)
7.143,(-0.05493302999448621+0.08021900064785194j),(0.6685583689687294+0.7372609629079203j),(0.0001596760840815652-5.451951003676277e-05j)
7.144,(-0.0548836518995489+0.08021580031824292j),(0.6687991282539629+0.7370465972782159j),(0.0001598062104506426-5.461115572038815e-05j)
7.145,(-0.05483427531562161+0.0802125677110843j),(0.6690398205822233+0.7368321515928136j),(0.000159936580076122-5.470297059121216e-05j)
7.146,(-0.05478490026394667+0.08020930282729612j),(0.6692804459261582+0.7366176258704594j),(0.0001600671935650173-5.479495510431036e-05j)
7.147,(-0.05473552676576632+0.08020600566781477j),(0.6695210042584195+0.736403020129907j),(0.0001601980515296135-5.488710971694789e-05j)
7.148,(-0.05468615484232193+0.08020267623359423j),(0.6697614955516634+0.7361883343899193j),(0.0001603291545814152-5.497943488746778e-05j)
7.149,(-0.05463678451485426+0.08019931452560486j),(0.6700019197785512+0.7359735686692667j),(0.0001604605033359427-5.507193107577722e-05j)
7.15,(-0.05458741580460367+0.08019592054483264j),(0.670242276911748+0.7357587229867275j),(0.0001605920984085871-5.516459874351304e-05j)
7.151,(-0.05453804873280981+0.08019249429228167j),(0.6704825669239233+0.7355437973610891j),(0.0001607239404200558-5.525743835389046e-05j)
7.152,(-0.05448868332071132+0.08018903576897071j),(0.6707227897877512+0.7353287918111466j),(0.0001608560299903034-5.535045037186832e-05j)
7.153,(-0.05443931958954583+0.0801855449759366j),(0.6709629454759108+0.735113706355703j),(0.0001609883677423802-5.544363526303477e-05j)
7.154,(-0.05438995756055114+0.08018202191423186j),(0.6712030339610853+0.7348985410135692j),(0.0001611209543024438-5.553699349633977e-05j)
7.155,(-0.05434059725496392+0.08017846658492703j),(0.6714430552159618+0.7346832958035651j),(0.0001612537902981662-5.563052554105527e-05j)
7.156,(-0.05429123869401949+0.08017487898910718j),(0.6716830092132328+0.7344679707445184j),(0.0001613868763587407-5.57242318682245e-05j)
7.157,(-0.05424188189895336+0.08017125912787557j),(0.671922895925595+0.7342525658552647j),(0.0001615202131164975-5.58181129505092e-05j)
7.158,(-0.05419252689099936+0.08016760700235115j),(0.6721627153257492+0.7340370811546479j),(0.0001616538012056285-5.59121692628402e-05j)
7.159,(-0.05414317369139143+0.0801639226136708j),(0.6724024673864014+0.73382151666152j),(0.0001617876412621958-5.600640128097649e-05j)
7.16,(-0.05409382232136167+0.08016020596298658j),(0.6726421520802611+0.733605872394741j),(0.0001619217339251073-5.610080948296113e-05j)
7.161,(-0.05404447280214196+0.08015645705146762j),(0.6728817693800436+0.7333901483731791j),(0.0001620560798358062-5.619539434832374e-05j)
7.162,(-0.05399512515496296+0.0801526758803j),(0.673121319258468+0.7331743446157107j),(0.00016219067963602-5.629015635760118e-05j)
7.163,(-0.053945779401055+0.08014886245068643j),(0.673360801688258+0.7329584611412199j),(0.000162325533972613-5.638509599379958e-05j)
7.164,(-0.05389643556164653+0.08014501676384597j),(0.6736002166421418+0.7327424979685994j),(0.0001624606434908105-5.648021374143097e-05j)
7.165,(-0.05384709365796626+0.0801411388210153j),(0.673839564092852+0.73252645511675j),(0.0001625960088435876-5.657551008652334e-05j)
7.166,(-0.05379775371124129+0.08013722862344674j),(0.6740788440131265+0.7323103326045793j),(0.0001627316306813266-5.667098551743442e-05j)
7.167,(-0.05374841574269711+0.08013328617240904j),(0.6743180563757071+0.7320941304510048j),(0.0001628675096586208-5.676664052242993e-05j)
7.168,(-0.0536990797735595+0.08012931146918884j),(0.6745572011533405+0.7318778486749509j),(0.0001630036464320186-5.68624755935802e-05j)
7.169,(-0.05364974582505291+0.08012530451508912j),(0.674796278318778+0.7316614872953504j),(0.0001631400416613328-5.695849122433869e-05j)
7.17,(-0.05360041391839993+0.08012126531142887j),(0.6750352878447748+0.7314450463311438j),(0.0001632766960070527-5.705468790824655e-05j)
7.171,(-0.05355108407482325+0.080117193859545j),(0.6752742297040916+0.7312285258012803j),(0.000163413610133602-5.715106614218967e-05j)
7.172,(-0.0535017563155438+0.08011309016079045j),(0.6755131038694935+0.7310119257247166j),(0.0001635507847067492-5.724762642445701e-05j)
